Feature,Importance,Percentage,Cumulative_Percentage
Low,0.7615276361991492,76.15276361991494,76.15276361991494
High,0.23069919528994287,23.06991952899429,99.22268314890923
EMA_5,0.003358477794258233,0.33584777942582333,99.55853092833505
Daily_Return,0.001984111683612159,0.19841116836121592,99.75694209669626
SMA_5,0.0004000737745702686,0.040007377457026864,99.7969494741533
Open,0.00022144789486579396,0.0221447894865794,99.81909426363987
RSI,0.00018766629528992718,0.01876662952899272,99.83786089316887
MACD_Signal,0.00017107628203795236,0.017107628203795237,99.85496852137265
EMA_10,0.00015985294151139512,0.015985294151139515,99.87095381552379
Volume,0.00015572406298518208,0.01557240629851821,99.88652622182231
HL_Range,0.00015331432537132248,0.015331432537132251,99.90185765435945
Volume_MA,0.00013400242929770636,0.013400242929770639,99.91525789728922
MACD,0.0001327200850754289,0.013272008507542891,99.92852990579676
SMA_10,0.00012653609418330602,0.012653609418330604,99.9411835152151
MACD_Histogram,0.0001254106840524896,0.012541068405248962,99.95372458362036
BB_Lower,0.00011463740561397786,0.011463740561397788,99.96518832418175
EMA_20,9.937550091904084e-05,0.009937550091904085,99.97512587427366
BB_Upper,8.82719568125502e-05,0.008827195681255022,99.98395306995491
SMA_20,8.727246856053072e-05,0.008727246856053073,99.99268031681096
BB_Middle,7.319683189054279e-05,0.0073196831890542805,100.00000000000001
