Feature,BCA,BRI,Mandiri,BNI,BTN,Average,Std
Low,0.1753821746504616,0.6141026159605362,0.26225325622327383,0.7615276361991492,0.5723267285784059,0.47711848232236537,0.2479564954718603
High,0.1849855644305036,0.3605474205794157,0.735692986226925,0.23069919528994287,0.32733001176390286,0.36785103565813804,0.21751632390041037
EMA_5,0.17152024612116826,0.009814857871257594,0.00033025303677558456,0.003358477794258233,0.01703074907119328,0.04041091677893059,0.07357266840345611
Open,0.11375738130839658,0.010515802538454718,1.7214580862305424e-05,0.00022144789486579396,0.014034590062094844,0.027709287276934846,0.04850082461133052
EMA_10,0.07825421827907703,8.814262145471623e-05,0.0001223455928198154,0.00015985294151139512,0.00714507954607046,0.017153927796186685,0.03429116845681219
SMA_5,0.06807033417802233,0.0017027649865414558,3.59693010349686e-05,0.0004000737745702686,0.004582016945296944,0.014958231837093194,0.029744253803670167
SMA_10,0.05706093225325745,9.088841367454815e-05,1.6392706820852385e-05,0.00012653609418330602,0.0063118753297670225,0.012721324959540637,0.024933179485205594
SMA_20,0.042360210257941476,6.735062069296325e-05,5.403080059877698e-06,8.727246856053072e-05,0.014009707933648913,0.01130598887218075,0.01838167966602162
BB_Lower,0.04767358754794083,7.791649368703132e-05,5.592840386198295e-06,0.00011463740561397786,0.006023425410909095,0.010779031939707428,0.02078541676019763
BB_Middle,0.019231387436205952,4.0713872438032524e-05,4.7578340506172304e-06,7.319683189054279e-05,0.007833843895775822,0.005436779974072194,0.00841768270525022
BB_Upper,0.025301795552828018,7.042232573976945e-05,1.4732728619401447e-05,8.82719568125502e-05,0.0008342178458926866,0.005261888081978485,0.011207725181440613
EMA_20,0.006558023449711045,5.894919418267762e-05,1.2566969579995352e-05,9.937550091904084e-05,0.014455045553460126,0.004236792133570577,0.006368231387727323
Daily_Return,0.0019190768697302366,0.0015962379287147081,0.0006640217194082311,0.001984111683612159,0.003112093929139136,0.0018551084261208938,0.0008784144571832431
RSI,0.002127867155897,0.00016057039532159725,0.00019985731945298347,0.00018766629528992718,0.0005833166448732898,0.0006518555621669595,0.0008432738300919692
Volume_MA,0.0006410188748256459,0.00020678367983530127,3.0056050733476138e-05,0.00013400242929770636,0.0019665583475017845,0.0005956838764387828,0.000800887013918883
MACD_Histogram,0.001519158016013374,0.00013550082241994854,0.00017337486617709225,0.0001254106840524896,0.0008749104583219575,0.0005656709693969724,0.0006199875636614006
MACD,0.0017402677400543357,0.00021858145128612856,6.936929898969964e-05,0.0001327200850754289,0.0003478340680786616,0.0005017545286968508,0.0007001672803912797
MACD_Signal,0.0008602401099774095,0.00012838360819502438,0.00010630505867576847,0.00017107628203795236,0.0006005022632929045,0.0003733014644358119,0.00033944672222360577
Volume,0.00048237616028044865,0.0002279793329689664,0.00019269623620709318,0.00015572406298518208,0.00034672963352959727,0.00028110108519425754,0.00013339368218688195
HL_Range,0.0005541396077073756,0.00014811730318301176,5.284832914722342e-05,0.00015331432537132248,0.00025076271884468074,0.00023183645685072277,0.00019329310394249744
